"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Orbit
Dove 4s-11 (0 Flock 4s-11 2445),Dove 4s-11 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,520,535,0.00202020202020202,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006BB ,47462,LEO - Sun-Synchronous
Dove 4s-12 (0 Flock 4s-12 241A),Dove 4s-12 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,520,535,0.00202020202020202,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006BL ,47471,LEO - Sun-Synchronous
Dove 4s-13 (0 Flock 4s-13 2453),Dove 4s-13 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,520,535,0.00202020202020202,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006BM ,47472,LEO - Sun-Synchronous
Dove 4s-14 (0 Flock 4s-14 241F),Dove 4s-14 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,520,535,0.00202020202020202,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006DU ,47528,LEO - Sun-Synchronous
Dove 4s-15 (0 Flock 4s-15 242F),Dove 4s-15 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,520,535,0.00202020202020202,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006DM ,47521,LEO - Sun-Synchronous
Dove 4s-16 (0 Flock 4s-16 2434),Dove 4s-16 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,520,535,0.00202020202020202,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006DG ,47516,LEO - Sun-Synchronous
Dove 4s-17 (0 Flock 4s-17 2432),Dove 4s-17 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,522,535,0.0017503702706341726,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006CH ,47492,LEO - Sun-Synchronous
Dove 4s-18 (0 Flock 4s-18 2421),Dove 4s-18 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,521,535,0.0018852679773767843,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006CM ,47496,LEO - Sun-Synchronous
Dove 4s-19 (0 Flock 4s-19 242D),Dove 4s-19 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,520,535,0.00202020202020202,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006CR ,47500,LEO - Sun-Synchronous
Dove 4s-2 (0 Flock 4s-2 2428),Dove 4s-2 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,519,535,0.0021551724137931034,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006CP ,47498,LEO - Sun-Synchronous
Dove 4s-20 (0 Flock 4s-20 2439),Dove 4s-20 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,521,535,0.0018852679773767843,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006EA ,47540,LEO - Sun-Synchronous
Dove 4s-21 (0 Flock 4s-21 245C),Dove 4s-21 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,521,535,0.0018852679773767843,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006AV ,47456,LEO - Sun-Synchronous
Dove 4s-22 (0 Flock 4s-22 421E),Dove 4s-22 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,521,535,0.0018852679773767843,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006AR ,47452,LEO - Sun-Synchronous
Dove 4s-23 (0 Flock 4s-23 245D),Dove 4s-23 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,520,536,0.0021545919741448962,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006EF ,47545,LEO - Sun-Synchronous
Dove 4s-24 (0 Flock 4s-24 2431),Dove 4s-24 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,521,535,0.0018852679773767843,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006DZ ,47539,LEO - Sun-Synchronous
Dove 4s-25 (0 Flock 4s-25 2448),Dove 4s-25 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,526,535,0.0012111425111021397,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006EC ,47542,LEO - Sun-Synchronous
Dove 4s-27 (0 Flock 4s-27 2457),Dove 4s-27 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,526,537,0.0014798869904480022,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006CL ,47495,LEO - Sun-Synchronous
Dove 4s-28 (0 Flock 4s-28 2460),Dove 4s-28 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,515,534,0.002560992047445747,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006DE ,47514,LEO - Sun-Synchronous
Dove 4s-3 (0 Flock 4s-3 2433),Dove 4s-3 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,519,535,0.0021551724137931034,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006CK ,47494,LEO - Sun-Synchronous
Dove 4s-30 (0 Flock 4s-30 2459),Dove 4s-30 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,527,535,0.001076426264800861,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006EE ,47544,LEO - Sun-Synchronous
Dove 4s-31 (0 Flock 4s-31 241B) ,Dove 4s-31 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,525,537,0.0016146393972012918,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006BQ ,47475,LEO - Sun-Synchronous
Dove 4s-33 (0 Flock 4s-33 2420),Dove 4s-33 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,526,535,0.0012111425111021397,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006BJ ,47469,LEO - Sun-Synchronous
Dove 4s-34 (0 Flock 4s-34 2464),Dove 4s-34 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,527,535,0.001076426264800861,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006BS ,47477,LEO - Sun-Synchronous
Dove 4s-35 (0 Flock 4s-35 242A),Dove 4s-35 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,526,535,0.0012111425111021397,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006BN ,47473,LEO - Sun-Synchronous
Dove 4s-36 (0 Flock 4s-36 241D),Dove 4s-36 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,526,535,0.0012111425111021397,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006DW ,47530,LEO - Sun-Synchronous
Dove 4s-37 (0 Flock 4s-37 2429) ,Dove 4s-37 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,522,535,0.0017503702706341726,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006DN ,47522,LEO - Sun-Synchronous
Dove 4s-39 (0 Flock 4s-39 2458),Dove 4s-39 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,523,535,0.0016155088852988692,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006CF ,47490,LEO - Sun-Synchronous
Dove 4s-4 (0 Flock 4s-4 242B),Dove 4s-4 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,519,535,0.0021551724137931034,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006CG ,47491,LEO - Sun-Synchronous
Dove 4s-41 (0 Flock 4s-41 2427),Dove 4s-41 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,522,535,0.0017503702706341726,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006ER ,47698,LEO - Sun-Synchronous
Dove 4s-42 (0 Flock 4s-42 2430),Dove 4s-42 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,520,538,0.0024232633279483036,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006EQ ,47612,LEO - Sun-Synchronous
Dove 4s-43 (0 Flock 4s-43 2435),Dove 4s-43 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,521,533,0.0016163793103448276,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006EN ,47687,LEO - Sun-Synchronous
Dove 4s-44 (0 Flock 4s-44 2440),Dove 4s-44 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,519,537,0.0024239159709130084,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006EM ,47686,LEO - Sun-Synchronous
Dove 4s-45 (0 Flock 4s-45 2442),Dove 4s-45 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,523,541,0.002421307506053269,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006EP ,47688,LEO - Sun-Synchronous
Dove 4s-46 (0 Flock 4s-46 2444),Dove 4s-46 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,521,533,0.0016163793103448276,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006EK ,47684,LEO - Sun-Synchronous
Dove 4s-47 (0 Flock 4s-47 2456),Dove 4s-47 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,526,537,0.0014798869904480022,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006EL ,47685,LEO - Sun-Synchronous
Dove 4s-48 (0 Flock 4s-48 2465),Dove 4s-48 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,524,536,0.0016150740242261105,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006EJ ,47617,LEO - Sun-Synchronous
Dove 4s-5 (0 Flock 4s-5 2423),Dove 4s-5 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,520,535,0.00202020202020202,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006DF ,47515,LEO - Sun-Synchronous
Dove 4s-6 (0 Flock 4s-6 2455),Dove 4s-6 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,527,535,0.001076426264800861,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006DJ ,47518,LEO - Sun-Synchronous
Dove 4s-7 (0 Flock 4s-7 2451),Dove 4s-7 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,527,535,0.001076426264800861,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006DT ,47527,LEO - Sun-Synchronous
Dove 4s-8 (0 Flock 4s-8 2450),Dove 4s-8 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,527,535,0.001076426264800861,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006BP ,47474,LEO - Sun-Synchronous
Dove 4s-9 (0 Flock 4s-9 2447),Dove 4s-9 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,520,535,0.00202020202020202,97.5,95.2,4.0,2021-01-24 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006BT ,47478,LEO - Sun-Synchronous
Dove 4v-1 (0 Flock 4v-1 227C),Dove 4v-1,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,534,535,0.00013442667025137788,97.5,94.7,4.0,2020-09-02 00:00:00,3.0,"Planet Labs, Inc.",USA,Guiana Space Center,Vega,2020-061AT,46313,LEO - Sun-Synchronous
Dove 4v-10 (0 Flock 4v-10 2254),Dove 4v-10,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,534,536,0.00026881720430107527,97.5,94.7,4.0,2020-09-02 00:00:00,3.0,"Planet Labs, Inc.",USA,Guiana Space Center,Vega,2020-061AA,46296,LEO - Sun-Synchronous
Dove 4v-11 (0 Flock 4v-11 2424),Dove 4v-11,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,533,535,0.00026888948642108095,97.5,94.7,4.0,2020-09-02 00:00:00,3.0,"Planet Labs, Inc.",USA,Guiana Space Center,Vega,2020-061P,46285,LEO - Sun-Synchronous
Dove 4v-13 (0 Flock 4v-13 241C),Dove 4v-13,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,533,535,0.00026888948642108095,97.5,94.7,4.0,2020-09-02 00:00:00,3.0,"Planet Labs, Inc.",USA,Guiana Space Center,Vega,2020-061AB,46297,LEO - Sun-Synchronous
Dove 4v-14 (0 Flock 4v-14 227A),Dove 4v-14,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,533,535,0.00026888948642108095,97.5,94.7,4.0,2020-09-02 00:00:00,3.0,"Planet Labs, Inc.",USA,Guiana Space Center,Vega,2020-061Q,46286,LEO - Sun-Synchronous
Dove 4v-15 (0 Flock 4v15 2402),Dove 4v-15,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,515,520,0.0006752194463200541,97.5,94.7,4.0,2020-09-25 00:00:00,3.0,"Planet Labs, Inc.",USA,Guiana Space Center,ION SCV Dispenser,2020-061BE,46528,LEO - Sun-Synchronous
Dove 4v-16 (0 Flock 4v16 2403),Dove 4v-16,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,515,529,0.0018883193957377933,97.5,94.7,4.0,2020-09-25 00:00:00,3.0,"Planet Labs, Inc.",USA,Guiana Space Center,ION SCV Dispenser,2020-061BD,46527,LEO - Sun-Synchronous
Dove 4v-17 (0 Flock 4v17 2426),Dove 4v-17,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,516,521,0.0006750371270419874,97.5,94.7,4.0,2020-10-02 00:00:00,3.0,"Planet Labs, Inc.",USA,Guiana Space Center,ION SCV Dispenser,2020-061BF,46529,LEO - Sun-Synchronous
Dove 4v-18 (0 Flock 4v18 2413),Dove 4v-18,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,514,527,0.0017541492376197544,97.5,94.7,4.0,2020-10-03 00:00:00,3.0,"Planet Labs, Inc.",USA,Guiana Space Center,ION SCV Dispenser,2020-061BG,46597,LEO - Sun-Synchronous
Dove 4v-19 (0 Flock 4v19 2414),Dove 4v-19,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,513,523,0.0013502565487442614,97.5,94.7,4.0,2020-10-03 00:00:00,3.0,"Planet Labs, Inc.",USA,Guiana Space Center,ION SCV Dispenser,2020-061BH,46609,LEO - Sun-Synchronous
Dove 4v-20 (0 Flock 4v20 2406),Dove 4v-20,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,515,528,0.0017536759746391475,97.5,94.7,4.0,2020-10-03 00:00:00,3.0,"Planet Labs, Inc.",USA,Guiana Space Center,ION SCV Dispenser,2020-061BJ,46621,LEO - Sun-Synchronous
Dove 4v-22 (0 Flock 4v22 240a),Dove 4v-22,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,514,526,0.0016194331983805667,97.5,94.7,4.0,2020-10-03 00:00:00,3.0,"Planet Labs, Inc.",USA,Guiana Space Center,ION SCV Dispenser,2020-061BL,46735,LEO - Sun-Synchronous
Dove 4v-23 (0 Flock 4v23 2401),Dove 4v-23,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,514,523,0.001215066828675577,97.5,94.7,4.0,2020-10-03 00:00:00,3.0,"Planet Labs, Inc.",USA,Guiana Space Center,ION SCV Dispenser,2020-061BM,46737,LEO - Sun-Synchronous
Dove 4v-24 (0 Flock 4v24 2405),Dove 4v-24,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,516,527,0.0014838796708485094,97.5,94.7,4.0,2020-10-03 00:00:00,3.0,"Planet Labs, Inc.",USA,Guiana Space Center,ION SCV Dispenser,2020-061BN,46738,LEO - Sun-Synchronous
Dove 4v-25 (0 Flock 4v25 240C),Dove 4v-25,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,514,523,0.001215066828675577,97.5,94.7,4.0,2020-10-03 00:00:00,3.0,"Planet Labs, Inc.",USA,Guiana Space Center,ION SCV Dispenser,2020-061BP,46812,LEO - Sun-Synchronous
Dove 4v-26 (0 Flock 4v26 2407),Dove 4v-26,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,516,526,0.0013491635186184566,97.5,94.2,4.0,2020-10-03 00:00:00,3.0,"Planet Labs, Inc.",USA,Guiana Space Center,ION SCV Dispenser,2020-061PQ,46825,LEO - Sun-Synchronous
Dove 4v-4 (0 Flock 4v-4 2274),Dove 4v-4,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,534,535,0.00013442667025137788,97.5,94.7,4.0,2020-09-02 00:00:00,3.0,"Planet Labs, Inc.",USA,Guiana Space Center,Vega,2020-061AU,46314,LEO - Sun-Synchronous
Dove 4v-5 (0 Flock 4v-5 240F),Dove 4v-5,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,533,535,0.00026888948642108095,97.5,94.7,4.0,2020-09-02 00:00:00,3.0,"Planet Labs, Inc.",USA,Guiana Space Center,Vega,2020-061U,46290,LEO - Sun-Synchronous
Dove 4v-6 (0 Flock 4v-6 225B),Dove 4v-6,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,533,535,0.00026888948642108095,97.5,94.7,4.0,2020-09-02 00:00:00,3.0,"Planet Labs, Inc.",USA,Guiana Space Center,Vega,2020-061T,46289,LEO - Sun-Synchronous
Dove 4v-7 (0 Flock 4v-7 227B),Dove 4v-7,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,533,535,0.00026888948642108095,97.5,94.7,4.0,2020-09-02 00:00:00,3.0,"Planet Labs, Inc.",USA,Guiana Space Center,Vega,2020-061V,46291,LEO - Sun-Synchronous
Dove 4v-8 (0 Flock 4v-8 2416),Dove 4v-8,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,533,535,0.00026888948642108095,97.5,94.7,4.0,2020-09-02 00:00:00,3.0,"Planet Labs, Inc.",USA,Guiana Space Center,Vega,2020-061S,46288,LEO - Sun-Synchronous
Dove 4x-1 (0 Flock 4x-1 2473),Dove 4x-1,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,518,535,0.002290179172841169,97.5,94.7,6.0,2022-01-13 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2022-002AK,51017,LEO - Sun-Synchronous
Dove 4x-10 (0 Flock 4x-10 249a),Dove 4x-10,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,520,535,0.00202020202020202,97.5,94.7,6.0,2022-01-13 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2022-002BF,51037,LEO - Sun-Synchronous
Dove 4x-11 (0 Flock 4x-11 249b),Dove 4x-11,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,524,535,0.0014806838067034595,97.5,94.7,6.0,2022-01-13 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2022-002BT,51049,LEO - Sun-Synchronous
Dove 4x-12 (0 Flock 4x-12 2498),Dove 4x-12,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,518,535,0.002290179172841169,97.5,94.7,6.0,2022-01-13 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2022-002AH,51015,LEO - Sun-Synchronous
Dove 4x-13 (0 Flock 4x-13 249c),Dove 4x-13,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,517,535,0.002425222312045271,97.5,94.7,6.0,2022-01-13 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2022-002AW,51028,LEO - Sun-Synchronous
Dove 4x-14 (0 Flock 4x-14 2489),Dove 4x-14,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,522,535,0.0017503702706341726,97.5,94.7,6.0,2022-01-13 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2022-002CL,51066,LEO - Sun-Synchronous
Dove 4x-15 (0 Flock 4x-15 2492),Dove 4x-15,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,518,535,0.002290179172841169,97.5,94.7,6.0,2022-01-13 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2022-002AC,51010,LEO - Sun-Synchronous
Dove 4x-16 (0 Flock 4x-16 2484),Dove 4x-16,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,518,535,0.002290179172841169,97.5,94.7,6.0,2022-01-13 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2022-002AN,51020,LEO - Sun-Synchronous
Dove 4x-17 (0 Flock 4x-17 247a),Dove 4x-17,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,524,535,0.0014806838067034595,97.5,94.7,6.0,2022-01-13 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2022-002BD,51035,LEO - Sun-Synchronous
Dove 4x-18 (0 Flock 4x-18 249d),Dove 4x-18,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,518,535,0.002290179172841169,97.5,94.7,6.0,2022-01-13 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2022-002Z,51007,LEO - Sun-Synchronous
Dove 4x-19 (0 Flock 4x-19 247e),Dove 4x-19,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,523,535,0.0016155088852988692,97.5,94.7,6.0,2022-01-13 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2022-002BQ,51046,LEO - Sun-Synchronous
Dove 4x-2 (0 Flock 4x-2 2477),Dove 4x-2,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,520,535,0.00202020202020202,97.5,94.7,6.0,2022-01-13 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2022-002N,50996,LEO - Sun-Synchronous
Dove 4x-20 (0 Flock 4x-20 2495),Dove 4x-20,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,520,535,0.00202020202020202,97.5,94.7,6.0,2022-01-13 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2022-002P,50997,LEO - Sun-Synchronous
Dove 4x-21 (0 Flock 4x-21 2485),Dove 4x-21,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,523,535,0.0016155088852988692,97.5,94.7,6.0,2022-01-13 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2022-002BJ,51040,LEO - Sun-Synchronous
Dove 4x-22 (0 Flock 4x-22 2479),Dove 4x-22,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,519,535,0.0021551724137931034,97.5,94.7,6.0,2022-01-13 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2022-002V,51003,LEO - Sun-Synchronous
Dove 4x-24 (0 Flock 4x-24 248b),Dove 4x-24,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,524,535,0.0014806838067034595,97.5,94.7,6.0,2022-01-13 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2022-002CA,51056,LEO - Sun-Synchronous
Dove 4x-25 (0 Flock 4x-25 24a3),Dove 4x-25,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,518,535,0.002290179172841169,97.5,94.7,6.0,2022-01-13 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2022-002AJ,51016,LEO - Sun-Synchronous
Dove 4x-26 (0 Flock 4x-26 2490),Dove 4x-26,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,518,535,0.002290179172841169,97.5,94.7,6.0,2022-01-13 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2022-002AU,51026,LEO - Sun-Synchronous
Dove 4x-28 (0 Flock 4x-28 24a5),Dove 4x-28,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,523,535,0.0016155088852988692,97.5,94.7,6.0,2022-01-13 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2022-002BP,51045,LEO - Sun-Synchronous
Dove 4x-29 (0 Flock 4x-29 247f),Dove 4x-29,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,0.0,518,535,0.002290179172841169,97.5,94.7,6.0,2022-01-13 00:00:00,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2022-002AD,51011,LEO - Sun-Synchronous
