"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Orbit
Starlink-1570 ,Starlink-1570 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-07 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055AJ,46059,LEO - Non-Polar Inclined
Starlink-1571 ,Starlink-1571 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-07 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055BG,46081,LEO - Non-Polar Inclined
Starlink-1572 ,Starlink-1572 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-07 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055AK,46060,LEO - Non-Polar Inclined
Starlink-1573 ,Starlink-1573 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-07 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055AL,46061,LEO - Non-Polar Inclined
Starlink-1574 ,Starlink-1574 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-07 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055AM,46062,LEO - Non-Polar Inclined
Starlink-1575,Starlink-1575,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-09-03 00:00:00,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062AA,46349,LEO - Non-Polar Inclined
Starlink-1576 ,Starlink-1576 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-07 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055P,46040,LEO - Non-Polar Inclined
Starlink-1577 ,Starlink-1577 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-07 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055AN,46063,LEO - Non-Polar Inclined
Starlink-1578 ,Starlink-1578 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-07 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055BH,46082,LEO - Non-Polar Inclined
Starlink-1579 ,Starlink-1579 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-07 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055BJ,46083,LEO - Non-Polar Inclined
