NORAD Number,COSPAR Number,Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Expected Lifetime (yrs.)
50189,2021-125AK ,LEO - Non-Polar Inclined,0.0,349,350,0.00014146272457207527,53.2,91.5,260.0,4.0
50182,2021-125AC ,LEO - Non-Polar Inclined,0.0,349,351,0.0002828854314002829,53.2,91.5,260.0,4.0
50830,2022-001AD ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50185,2021-125AF ,LEO - Non-Polar Inclined,0.0,349,350,0.00014146272457207527,53.2,91.5,260.0,4.0
50183,2021-125AD ,LEO - Non-Polar Inclined,0.0,349,350,0.00014146272457207527,53.2,91.5,260.0,4.0
50177,2021-125X ,LEO - Non-Polar Inclined,0.0,349,351,0.0002828854314002829,53.2,91.5,260.0,4.0
50179,2021-125Z ,LEO - Non-Polar Inclined,0.0,349,350,0.00014146272457207527,53.2,91.5,260.0,4.0
50178,2021-125Y ,LEO - Non-Polar Inclined,0.0,349,350,0.00014146272457207527,53.2,91.5,260.0,4.0
50181,2021-125AB ,LEO - Non-Polar Inclined,0.0,349,350,0.00014146272457207527,53.2,91.5,260.0,4.0
50171,2021-125R ,LEO - Non-Polar Inclined,0.0,349,350,0.00014146272457207527,53.2,91.5,260.0,4.0
50172,2021-125S ,LEO - Non-Polar Inclined,0.0,349,350,0.00014146272457207527,53.2,91.5,260.0,4.0
50160,2021-125E ,LEO - Non-Polar Inclined,0.0,353,354,0.00014130281192595732,53.2,91.5,260.0,4.0
50173,2021-125T ,LEO - Non-Polar Inclined,0.0,349,350,0.00014146272457207527,53.2,91.5,260.0,4.0
50828,2022-001AB ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50175,2021-125V ,LEO - Non-Polar Inclined,0.0,349,350,0.00014146272457207527,53.2,91.5,260.0,4.0
50174,2021-125U ,LEO - Non-Polar Inclined,0.0,349,350,0.00014146272457207527,53.2,91.5,260.0,4.0
